ProduktNR,Kontotyp,Art,Year,Amount,ProduktbereichNR,ProduktgruppeNR,Produkt,Produktbereich,Produktgruppe
1105020,Aufwendung,Ergebnis,2009,219151.43,11,1105,(entfallen in 2013) Europabüro / EU-Strukturförderung ,Innere Verwaltung,Geschäftsbereichsleitung GB 1
1105020,Verlust,Ergebnis,2009,16097.58,11,1105,(entfallen in 2013) Europabüro / EU-Strukturförderung ,Innere Verwaltung,Geschäftsbereichsleitung GB 1
1106010,Ertrag,Ergebnis,2009,515530.58,11,1106,GBL und Steuerungsunterstützung GB2.1,Innere Verwaltung,Geschäftsbereichsleitung GB 2.1
1106010,Aufwendung,Ergebnis,2009,556808.15,11,1106,GBL und Steuerungsunterstützung GB2.1,Innere Verwaltung,Geschäftsbereichsleitung GB 2.1
1106010,Verlust,Ergebnis,2009,41277.57,11,1106,GBL und Steuerungsunterstützung GB2.1,Innere Verwaltung,Geschäftsbereichsleitung GB 2.1
1107010,Ertrag,Ergebnis,2009,468522.58,11,1107,GBL und Steuerungsunterstützung GB2.2,Innere Verwaltung,Geschäftsbereichsleitung GB 2.2
1107010,Aufwendung,Ergebnis,2009,505875.08,11,1107,GBL und Steuerungsunterstützung GB2.2,Innere Verwaltung,Geschäftsbereichsleitung GB 2.2
1107010,Verlust,Ergebnis,2009,37352.50,11,1107,GBL und Steuerungsunterstützung GB2.2,Innere Verwaltung,Geschäftsbereichsleitung GB 2.2
1108010,Ertrag,Ergebnis,2009,401485.18,11,1108,Nicht definiert,Innere Verwaltung,
1108010,Aufwendung,Ergebnis,2009,433601.81,11,1108,Nicht definiert,Innere Verwaltung,
1108010,Verlust,Ergebnis,2009,32116.63,11,1108,Nicht definiert,Innere Verwaltung,
1109010,Ertrag,Ergebnis,2009,555981.37,11,1109,GBL und Steuerungsunterstützung GB4,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1109010,Aufwendung,Ergebnis,2009,599837.58,11,1109,GBL und Steuerungsunterstützung GB4,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1109010,Verlust,Ergebnis,2009,43856.21,11,1109,GBL und Steuerungsunterstützung GB4,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1109020,Ertrag,Ergebnis,2009,203228.20,11,1109,(entfallen in 2012) E-Government / Internet,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1109020,Aufwendung,Ergebnis,2009,219134.29,11,1109,(entfallen in 2012) E-Government / Internet,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1109020,Verlust,Ergebnis,2009,15906.09,11,1109,(entfallen in 2012) E-Government / Internet,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1109030,Ertrag,Ergebnis,2009,394246.62,11,1109,(entfallen in 2012) Organisationsentwicklung,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1109030,Aufwendung,Ergebnis,2009,425750.46,11,1109,(entfallen in 2012) Organisationsentwicklung,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1109030,Verlust,Ergebnis,2009,31503.84,11,1109,(entfallen in 2012) Organisationsentwicklung,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1109040,Ertrag,Ergebnis,2009,449967.99,11,1109,Zentrale Vergabestelle,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1109040,Aufwendung,Ergebnis,2009,457050.05,11,1109,Zentrale Vergabestelle,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1109040,Verlust,Ergebnis,2009,7082.06,11,1109,Zentrale Vergabestelle,Innere Verwaltung,Geschäftsbereichsleitung GB 4
1110010,Ertrag,Ergebnis,2009,359386.88,11,1110,Gleichstellung von Frau und Mann,Innere Verwaltung,Gleichstellung von Frau und Mann
1110010,Aufwendung,Ergebnis,2009,385210.79,11,1110,Gleichstellung von Frau und Mann,Innere Verwaltung,Gleichstellung von Frau und Mann
1110010,Verlust,Ergebnis,2009,25823.91,11,1110,Gleichstellung von Frau und Mann,Innere Verwaltung,Gleichstellung von Frau und Mann
1111010,Ertrag,Ergebnis,2009,1047995.03,11,1111,Gesamtpersonalrat,Innere Verwaltung,Beschäftigtenvertretung
1111010,Aufwendung,Ergebnis,2009,1130074.35,11,1111,Gesamtpersonalrat,Innere Verwaltung,Beschäftigtenvertretung
1111010,Verlust,Ergebnis,2009,82079.32,11,1111,Gesamtpersonalrat,Innere Verwaltung,Beschäftigtenvertretung
1112010,Ertrag,Ergebnis,2009,1832268.69,11,1112,Rechnungsprüfung,Innere Verwaltung,Rechnungsprüfung
1112010,Aufwendung,Ergebnis,2009,1976870.67,11,1112,Rechnungsprüfung,Innere Verwaltung,Rechnungsprüfung
1112010,Verlust,Ergebnis,2009,144601.98,11,1112,Rechnungsprüfung,Innere Verwaltung,Rechnungsprüfung
1112020,Ertrag,Ergebnis,2009,338869.76,11,1112,Korruptionsbekämpfung und -prävention,Innere Verwaltung,Rechnungsprüfung
1112020,Aufwendung,Ergebnis,2009,366006.42,11,1112,Korruptionsbekämpfung und -prävention,Innere Verwaltung,Rechnungsprüfung
1112020,Verlust,Ergebnis,2009,27136.66,11,1112,Korruptionsbekämpfung und -prävention,Innere Verwaltung,Rechnungsprüfung
1113010,Ertrag,Ergebnis,2009,526781.42,11,1113,Presse- und Öffentlichkeitsarbeit,Innere Verwaltung,Presse- und Öffentlichkeitsarbeit
1113010,Aufwendung,Ergebnis,2009,567749.96,11,1113,Presse- und Öffentlichkeitsarbeit,Innere Verwaltung,Presse- und Öffentlichkeitsarbeit
1113010,Verlust,Ergebnis,2009,40968.54,11,1113,Presse- und Öffentlichkeitsarbeit,Innere Verwaltung,Presse- und Öffentlichkeitsarbeit
1113020,Ertrag,Ergebnis,2009,382531.08,11,1113,Repräsentationen / Städtepartnerschaften,Innere Verwaltung,Presse- und Öffentlichkeitsarbeit
1113020,Aufwendung,Ergebnis,2009,413123.46,11,1113,Repräsentationen / Städtepartnerschaften,Innere Verwaltung,Presse- und Öffentlichkeitsarbeit
1113020,Verlust,Ergebnis,2009,30592.38,11,1113,Repräsentationen / Städtepartnerschaften,Innere Verwaltung,Presse- und Öffentlichkeitsarbeit
1114010,Ertrag,Ergebnis,2009,242046.07,11,1114,Ausbildung,Innere Verwaltung,Personalfortbildung und -entwicklung
1114010,Aufwendung,Ergebnis,2009,261390.58,11,1114,Ausbildung,Innere Verwaltung,Personalfortbildung und -entwicklung
1114010,Verlust,Ergebnis,2009,19344.51,11,1114,Ausbildung,Innere Verwaltung,Personalfortbildung und -entwicklung
1114020,Ertrag,Ergebnis,2009,156902.50,11,1114,Kommunale Fortbildung,Innere Verwaltung,Personalfortbildung und -entwicklung
1114020,Aufwendung,Ergebnis,2009,768988.54,11,1114,Kommunale Fortbildung,Innere Verwaltung,Personalfortbildung und -entwicklung
1114020,Verlust,Ergebnis,2009,612086.04,11,1114,Kommunale Fortbildung,Innere Verwaltung,Personalfortbildung und -entwicklung
1115010,Ertrag,Ergebnis,2009,744611.34,11,1115,Personalsteuerung und -recht,Innere Verwaltung,Personalmanagement
1115010,Aufwendung,Ergebnis,2009,804142.10,11,1115,Personalsteuerung und -recht,Innere Verwaltung,Personalmanagement
1115010,Verlust,Ergebnis,2009,59530.76,11,1115,Personalsteuerung und -recht,Innere Verwaltung,Personalmanagement
1115020,Ertrag,Ergebnis,2009,1598603.04,11,1115,Personalbetreuung,Innere Verwaltung,Personalmanagement
1115020,Aufwendung,Ergebnis,2009,1376231.02,11,1115,Personalbetreuung,Innere Verwaltung,Personalmanagement
1115020,Gewinn,Ergebnis,2009,222372.02,11,1115,Personalbetreuung,Innere Verwaltung,Personalmanagement
1115030,Ertrag,Ergebnis,2009,615015.91,11,1115,Arbeitssicherheit / Gesundheitsschutz,Innere Verwaltung,Personalmanagement
1115030,Aufwendung,Ergebnis,2009,653170.82,11,1115,Arbeitssicherheit / Gesundheitsschutz,Innere Verwaltung,Personalmanagement
1115030,Verlust,Ergebnis,2009,38154.91,11,1115,Arbeitssicherheit / Gesundheitsschutz,Innere Verwaltung,Personalmanagement
1115040,Ertrag,Ergebnis,2009,2226767.36,11,1115,Personalabrechnung,Innere Verwaltung,Personalmanagement
1115040,Aufwendung,Ergebnis,2009,1598533.39,11,1115,Personalabrechnung,Innere Verwaltung,Personalmanagement
1115040,Gewinn,Ergebnis,2009,628233.97,11,1115,Personalabrechnung,Innere Verwaltung,Personalmanagement
1115050,Ertrag,Ergebnis,2009,21220.89,11,1115,Nicht definiert,Innere Verwaltung,Personalmanagement
1115050,Aufwendung,Ergebnis,2009,22905.81,11,1115,Nicht definiert,Innere Verwaltung,Personalmanagement
1115050,Verlust,Ergebnis,2009,1684.92,11,1115,Nicht definiert,Innere Verwaltung,Personalmanagement
1116010,Ertrag,Ergebnis,2009,2474434.67,11,1116,Haushaltsmanagement,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116010,Aufwendung,Ergebnis,2009,2674264.78,11,1116,Haushaltsmanagement,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116010,Verlust,Ergebnis,2009,199830.11,11,1116,Haushaltsmanagement,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116020,Ertrag,Ergebnis,2009,1694254.63,11,1116,Controlling,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116020,Aufwendung,Ergebnis,2009,1830270.11,11,1116,Controlling,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116020,Verlust,Ergebnis,2009,136015.48,11,1116,Controlling,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116030,Ertrag,Ergebnis,2009,6223634.83,11,1116,Beteiligungsmanagement,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116030,Aufwendung,Ergebnis,2009,6698354.92,11,1116,Beteiligungsmanagement,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116030,Verlust,Ergebnis,2009,474720.09,11,1116,Beteiligungsmanagement,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116040,Ertrag,Ergebnis,2009,3509343.80,11,1116,Vermögensmanagement,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116040,Aufwendung,Ergebnis,2009,3747963.66,11,1116,Vermögensmanagement,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116040,Verlust,Ergebnis,2009,238619.86,11,1116,Vermögensmanagement,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116050,Ertrag,Ergebnis,2009,7896179.31,11,1116,Finanzbuchhaltung,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116050,Aufwendung,Ergebnis,2009,8567428.24,11,1116,Finanzbuchhaltung,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116050,Verlust,Ergebnis,2009,671248.93,11,1116,Finanzbuchhaltung,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116080,Ertrag,Ergebnis,2009,699354.24,11,1116,Steuern und sonstige Abgaben,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116080,Aufwendung,Ergebnis,2009,3821829.50,11,1116,Steuern und sonstige Abgaben,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116080,Verlust,Ergebnis,2009,3122475.26,11,1116,Steuern und sonstige Abgaben,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116090,Ertrag,Ergebnis,2009,3.89,11,1116,Nicht definiert,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116090,Aufwendung,Ergebnis,2009,85602.87,11,1116,Nicht definiert,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1116090,Verlust,Ergebnis,2009,85598.98,11,1116,Nicht definiert,Innere Verwaltung,Finanzmanagement und Rechnungswesen
1117010,Ertrag,Ergebnis,2009,6028514.24,11,1117,Informationstechnische Infrastruktur,Innere Verwaltung,Technik. Informationsverarbeitung
1117010,Aufwendung,Ergebnis,2009,4832208.95,11,1117,Informationstechnische Infrastruktur,Innere Verwaltung,Technik. Informationsverarbeitung
1117010,Gewinn,Ergebnis,2009,1196305.29,11,1117,Informationstechnische Infrastruktur,Innere Verwaltung,Technik. Informationsverarbeitung
1117020,Ertrag,Ergebnis,2009,4897334.96,11,1117,Rechenzentrum,Innere Verwaltung,Technik. Informationsverarbeitung
1117020,Aufwendung,Ergebnis,2009,6273959.37,11,1117,Rechenzentrum,Innere Verwaltung,Technik. Informationsverarbeitung
1117020,Verlust,Ergebnis,2009,1376624.41,11,1117,Rechenzentrum,Innere Verwaltung,Technik. Informationsverarbeitung
1117030,Ertrag,Ergebnis,2009,2717701.94,11,1117,Client Management und Consulting,Innere Verwaltung,Technik. Informationsverarbeitung
1117030,Aufwendung,Ergebnis,2009,3191733.71,11,1117,Client Management und Consulting,Innere Verwaltung,Technik. Informationsverarbeitung
1117030,Verlust,Ergebnis,2009,474031.77,11,1117,Client Management und Consulting,Innere Verwaltung,Technik. Informationsverarbeitung
1118010,Ertrag,Ergebnis,2009,1943546.97,11,1118,CCC-SAP,Innere Verwaltung,Customer Competence Center
1118010,Aufwendung,Ergebnis,2009,2052085.29,11,1118,CCC-SAP,Innere Verwaltung,Customer Competence Center
1118010,Verlust,Ergebnis,2009,108538.32,11,1118,CCC-SAP,Innere Verwaltung,Customer Competence Center
1119020,Ertrag,Ergebnis,2009,2221891.24,11,1119,Versicherungsangelegenheiten d.Kommunen,Innere Verwaltung,Recht
1119020,Aufwendung,Ergebnis,2009,1064530.91,11,1119,Versicherungsangelegenheiten d.Kommunen,Innere Verwaltung,Recht
1119020,Gewinn,Ergebnis,2009,1157360.33,11,1119,Versicherungsangelegenheiten d.Kommunen,Innere Verwaltung,Recht
1120010,Ertrag,Ergebnis,2009,217230.18,11,1120,Zentr. Beschaffungen d.Gesamtverwaltung,Innere Verwaltung,Zentrale Beschaffungen
1120010,Aufwendung,Ergebnis,2009,369020.87,11,1120,Zentr. Beschaffungen d.Gesamtverwaltung,Innere Verwaltung,Zentrale Beschaffungen
1120010,Verlust,Ergebnis,2009,151790.69,11,1120,Zentr. Beschaffungen d.Gesamtverwaltung,Innere Verwaltung,Zentrale Beschaffungen
1121010,Ertrag,Ergebnis,2009,448699.77,11,1121,Postdienst,Innere Verwaltung,Zentrale Dienste
1121010,Aufwendung,Ergebnis,2009,814812.26,11,1121,Postdienst,Innere Verwaltung,Zentrale Dienste
1121010,Verlust,Ergebnis,2009,366112.49,11,1121,Postdienst,Innere Verwaltung,Zentrale Dienste
1121030,Ertrag,Ergebnis,2009,171554.33,11,1121,Nicht definiert,Innere Verwaltung,Zentrale Dienste
1121030,Aufwendung,Ergebnis,2009,222913.98,11,1121,Nicht definiert,Innere Verwaltung,Zentrale Dienste
1121030,Verlust,Ergebnis,2009,51359.65,11,1121,Nicht definiert,Innere Verwaltung,Zentrale Dienste
1121040,Ertrag,Ergebnis,2009,786655.27,11,1121,Zentraleinkauf,Innere Verwaltung,Zentrale Dienste
1121040,Aufwendung,Ergebnis,2009,1048506.50,11,1121,Zentraleinkauf,Innere Verwaltung,Zentrale Dienste
1121040,Verlust,Ergebnis,2009,261851.23,11,1121,Zentraleinkauf,Innere Verwaltung,Zentrale Dienste
1122010,Ertrag,Ergebnis,2009,1232024.35,11,1122,Bürgerbüros,Innere Verwaltung,Bürgerbüros
1122010,Aufwendung,Ergebnis,2009,1569816.42,11,1122,Bürgerbüros,Innere Verwaltung,Bürgerbüros
1122010,Verlust,Ergebnis,2009,337792.07,11,1122,Bürgerbüros,Innere Verwaltung,Bürgerbüros
1123010,Ertrag,Ergebnis,2009,1168093.99,11,1123,Service-Center,Innere Verwaltung,Service-Center
1123010,Aufwendung,Ergebnis,2009,1274402.01,11,1123,Service-Center,Innere Verwaltung,Service-Center
1123010,Verlust,Ergebnis,2009,106308.02,11,1123,Service-Center,Innere Verwaltung,Service-Center
1124010,Ertrag,Ergebnis,2009,161359.28,11,1124,Kantine,Innere Verwaltung,Infrastrukturelles Immobilienmanagement
1124010,Aufwendung,Ergebnis,2009,282187.17,11,1124,Kantine,Innere Verwaltung,Infrastrukturelles Immobilienmanagement
1124010,Verlust,Ergebnis,2009,120827.89,11,1124,Kantine,Innere Verwaltung,Infrastrukturelles Immobilienmanagement
1125010,Ertrag,Ergebnis,2009,2160409.34,11,1125,Grundstücksmanagement,Innere Verwaltung,Grundstücksmanagement
1125010,Aufwendung,Ergebnis,2009,2112355.71,11,1125,Grundstücksmanagement,Innere Verwaltung,Grundstücksmanagement
1125010,Gewinn,Ergebnis,2009,48053.63,11,1125,Grundstücksmanagement,Innere Verwaltung,Grundstücksmanagement
1126010,Ertrag,Ergebnis,2009,4528350.52,11,1126,GMW,Innere Verwaltung,GMW / Gemeinnütz. Wohnungsbauges.
1126010,Aufwendung,Ergebnis,2009,120000.00,11,1126,GMW,Innere Verwaltung,GMW / Gemeinnütz. Wohnungsbauges.
1126010,Gewinn,Ergebnis,2009,4408350.52,11,1126,GMW,Innere Verwaltung,GMW / Gemeinnütz. Wohnungsbauges.
1127010,Ertrag,Ergebnis,2009,356578.16,11,1127,Zentrales Fördermanagement,Innere Verwaltung,Fördermittelmanagement
1127010,Aufwendung,Ergebnis,2009,385131.87,11,1127,Zentrales Fördermanagement,Innere Verwaltung,Fördermittelmanagement
1127010,Verlust,Ergebnis,2009,28553.71,11,1127,Zentrales Fördermanagement,Innere Verwaltung,Fördermittelmanagement
1128010,Ertrag,Ergebnis,2009,118103.81,11,1128,Personalnebenkosten,Innere Verwaltung,Personalnebenkosten
1128010,Aufwendung,Ergebnis,2009,340.92,11,1128,Personalnebenkosten,Innere Verwaltung,Personalnebenkosten
1128010,Gewinn,Ergebnis,2009,117762.89,11,1128,Personalnebenkosten,Innere Verwaltung,Personalnebenkosten
1130010,Ertrag,Ergebnis,2009,69430567.19,11,1130,Zentrales Personalkosten-Rest-Budget,Innere Verwaltung,Zentrales Personalkosten-Rest-Budget
1130010,Aufwendung,Ergebnis,2009,71373908.75,11,1130,Zentrales Personalkosten-Rest-Budget,Innere Verwaltung,Zentrales Personalkosten-Rest-Budget
1130010,Verlust,Ergebnis,2009,1943341.56,11,1130,Zentrales Personalkosten-Rest-Budget,Innere Verwaltung,Zentrales Personalkosten-Rest-Budget
1132010,Ertrag,Ergebnis,2009,125811.20,11,1132,(Restabwicklung) Projekt NKF,Innere Verwaltung,(entfallen in 2011) Schlüsselprojekte der Organisationsentw.
1132010,Aufwendung,Ergebnis,2009,135936.88,11,1132,(Restabwicklung) Projekt NKF,Innere Verwaltung,(entfallen in 2011) Schlüsselprojekte der Organisationsentw.
1132010,Verlust,Ergebnis,2009,10125.68,11,1132,(Restabwicklung) Projekt NKF,Innere Verwaltung,(entfallen in 2011) Schlüsselprojekte der Organisationsentw.
1132020,Ertrag,Ergebnis,2009,50870.80,11,1132,Nicht definiert,Innere Verwaltung,(entfallen in 2011) Schlüsselprojekte der Organisationsentw.
1132020,Aufwendung,Ergebnis,2009,54939.18,11,1132,Nicht definiert,Innere Verwaltung,(entfallen in 2011) Schlüsselprojekte der Organisationsentw.
1132020,Verlust,Ergebnis,2009,4068.38,11,1132,Nicht definiert,Innere Verwaltung,(entfallen in 2011) Schlüsselprojekte der Organisationsentw.
1134010,Aufwendung,Ergebnis,2009,244555.97,11,1134,Beitr.mitgl.sch. im Gesamtverw.interesse,Innere Verwaltung,Mitgliedschaften
1201010,Ertrag,Ergebnis,2009,541752.08,12,1201,"Maßnahmen d.Gefahrenabwehr, sonst. DL",Sicherheit und Ordnung,Ordnungsangelegenheiten
1201010,Aufwendung,Ergebnis,2009,3183422.36,12,1201,"Maßnahmen d.Gefahrenabwehr, sonst. DL",Sicherheit und Ordnung,Ordnungsangelegenheiten
1201010,Verlust,Ergebnis,2009,2641670.28,12,1201,"Maßnahmen d.Gefahrenabwehr, sonst. DL",Sicherheit und Ordnung,Ordnungsangelegenheiten
1201020,Ertrag,Ergebnis,2009,7762162.02,12,1201,Verkehrsüberwachung,Sicherheit und Ordnung,Ordnungsangelegenheiten
1201020,Aufwendung,Ergebnis,2009,4517400.53,12,1201,Verkehrsüberwachung,Sicherheit und Ordnung,Ordnungsangelegenheiten
1201020,Gewinn,Ergebnis,2009,3244761.49,12,1201,Verkehrsüberwachung,Sicherheit und Ordnung,Ordnungsangelegenheiten
1201030,Ertrag,Ergebnis,2009,1390063.68,12,1201,"Gewerbe-,Veterinärsw.,Lebensmittelüberw.",Sicherheit und Ordnung,Ordnungsangelegenheiten
1201030,Aufwendung,Ergebnis,2009,4876946.45,12,1201,"Gewerbe-,Veterinärsw.,Lebensmittelüberw.",Sicherheit und Ordnung,Ordnungsangelegenheiten
1201030,Verlust,Ergebnis,2009,3486882.77,12,1201,"Gewerbe-,Veterinärsw.,Lebensmittelüberw.",Sicherheit und Ordnung,Ordnungsangelegenheiten
1201040,Ertrag,Ergebnis,2009,4211849.25,12,1201,KFZ-Angelegenheiten,Sicherheit und Ordnung,Ordnungsangelegenheiten
1201040,Aufwendung,Ergebnis,2009,3838925.08,12,1201,KFZ-Angelegenheiten,Sicherheit und Ordnung,Ordnungsangelegenheiten
1201040,Gewinn,Ergebnis,2009,372924.17,12,1201,KFZ-Angelegenheiten,Sicherheit und Ordnung,Ordnungsangelegenheiten
1202010,Ertrag,Ergebnis,2009,38363.53,12,1202,Öffentliche Toilettenanlagen,Sicherheit und Ordnung,Öffentliche Toilettenanlagen
1202010,Aufwendung,Ergebnis,2009,491108.84,12,1202,Öffentliche Toilettenanlagen,Sicherheit und Ordnung,Öffentliche Toilettenanlagen
1202010,Verlust,Ergebnis,2009,452745.31,12,1202,Öffentliche Toilettenanlagen,Sicherheit und Ordnung,Öffentliche Toilettenanlagen
1203010,Ertrag,Ergebnis,2009,1180.00,12,1203,Standesamtsaufsicht / Schiedsamtsangel.,Sicherheit und Ordnung,Standesamtsaufsicht / Schiedsamtsangel.
1203010,Aufwendung,Ergebnis,2009,206371.54,12,1203,Standesamtsaufsicht / Schiedsamtsangel.,Sicherheit und Ordnung,Standesamtsaufsicht / Schiedsamtsangel.
1203010,Verlust,Ergebnis,2009,205191.54,12,1203,Standesamtsaufsicht / Schiedsamtsangel.,Sicherheit und Ordnung,Standesamtsaufsicht / Schiedsamtsangel.
1204010,Ertrag,Ergebnis,2009,2067130.83,12,1204,Straßen- und Verkehrsangelegenheiten,Sicherheit und Ordnung,Verkehrsangelegenheiten
1204010,Aufwendung,Ergebnis,2009,3589113.87,12,1204,Straßen- und Verkehrsangelegenheiten,Sicherheit und Ordnung,Verkehrsangelegenheiten
1204010,Verlust,Ergebnis,2009,1521983.04,12,1204,Straßen- und Verkehrsangelegenheiten,Sicherheit und Ordnung,Verkehrsangelegenheiten
1207010,Ertrag,Ergebnis,2009,1666708.07,12,1207,Einwohnerangelegenheiten,Sicherheit und Ordnung,Einwohner- und Personenstandwesen
1207010,Aufwendung,Ergebnis,2009,4271374.43,12,1207,Einwohnerangelegenheiten,Sicherheit und Ordnung,Einwohner- und Personenstandwesen
1207010,Verlust,Ergebnis,2009,2604666.36,12,1207,Einwohnerangelegenheiten,Sicherheit und Ordnung,Einwohner- und Personenstandwesen
1207020,Ertrag,Ergebnis,2009,562117.52,12,1207,Personenstandswesen,Sicherheit und Ordnung,Einwohner- und Personenstandwesen
1207020,Aufwendung,Ergebnis,2009,2262802.20,12,1207,Personenstandswesen,Sicherheit und Ordnung,Einwohner- und Personenstandwesen
1207020,Verlust,Ergebnis,2009,1700684.68,12,1207,Personenstandswesen,Sicherheit und Ordnung,Einwohner- und Personenstandwesen
1209010,Ertrag,Ergebnis,2009,401557.53,12,1209,Aufenthaltsrechtliche Angel. ABH,Sicherheit und Ordnung,Regelung des Aufenthalts von Ausländern
1209010,Aufwendung,Ergebnis,2009,3017723.07,12,1209,Aufenthaltsrechtliche Angel. ABH,Sicherheit und Ordnung,Regelung des Aufenthalts von Ausländern
1209010,Verlust,Ergebnis,2009,2616165.54,12,1209,Aufenthaltsrechtliche Angel. ABH,Sicherheit und Ordnung,Regelung des Aufenthalts von Ausländern
1211010,Ertrag,Ergebnis,2009,296074.58,12,1211,Bundestagswahl,Sicherheit und Ordnung,Wahlen
1211010,Aufwendung,Ergebnis,2009,315384.73,12,1211,Bundestagswahl,Sicherheit und Ordnung,Wahlen
1211010,Verlust,Ergebnis,2009,19310.15,12,1211,Bundestagswahl,Sicherheit und Ordnung,Wahlen
1211020,Ertrag,Ergebnis,2009,287261.81,12,1211,Europawahl,Sicherheit und Ordnung,Wahlen
1211020,Aufwendung,Ergebnis,2009,312620.62,12,1211,Europawahl,Sicherheit und Ordnung,Wahlen
1211020,Verlust,Ergebnis,2009,25358.81,12,1211,Europawahl,Sicherheit und Ordnung,Wahlen
1211030,Ertrag,Ergebnis,2009,784.27,12,1211,Kommunalwahl,Sicherheit und Ordnung,Wahlen
1211030,Aufwendung,Ergebnis,2009,296835.29,12,1211,Kommunalwahl,Sicherheit und Ordnung,Wahlen
